BNX3,bnx3,How do I do a hard reset on my BNX3?,"You can reset the BNX3 by pressing and holding in the Drums button, (the one by the data wheel, not the one on the recorder) as you turn on the power. When the display shows ""RESET"", let go of the drums button and press the MODE button.  When the display shows ""TOE DOWN"" move the expression pedal all the way forward and press the #3 footswitch. The display should then show ""TOE UP"". Move the pedal all the way back towards you and press the #4 footswitch. The display should then show ""VSWITCH"". Move the pedal forward and put some pressure on it until you see the numerical display change numbers, then back the pedal off again. It is now reset."
RPx400,rpx400,Can I record 24-bit audio?,24-bit audio recording will be available soon.  Check http://www.digitech.com for updates.
RPx400,rpx400,My mic signal sounds distorted.,"Adjust the mic level trim pot on the rear panel of the RPx 400.  Also, adjust USB levels so the signal that is fed to the recorder is in the appropriate range."
RPx400,rpx400,Can I turn off microphone phantom power?,"No, but it should not damage a typical dynamic mic because the phantom power is present on both the signal lines coming from (going to) the mic.  "
RPx400,rpx400,Can I use third party plug-ins and soft-synths?,"Yes, DirectX compatible plug-ins and DXi SoftSynths."
RPx400,rpx400,My midi drum pattern doesn't play RPx 400 drums.,"The RPx 400 contains a limited drum kit so sometimes a drum pattern will require voices that are not available in the RPx 400.  In some cases, you can transpose the note that a drum voice is mapped to in order to trigger a drum beat in the RPx 400.  The RPx 400 drum notes are:<br>Bb3 is the open Hi Hat<br>F#3 is the closed Hi Hat<br>D3 is the Snare<br>C3 is the Kick Drum<br>"
RPx400,rpx400,Where did my wave files go?,"Wave files all get saved to the folder specified in Options->Global, Audio Data."
RPx400,rpx400,Where did my wave files go?,"Wave files all get saved to the folder specified in Options->Global, Audio Data."
RPx400,rpx400,My waves are low in level.,The recording signal level can be boosted using the USB1-2 and USB3-4 level controls.
RPx400,rpx400,My waves are too high in level.,The recording signal level can be lowered using the USB1-2 and USB3-4 level controls.<br>Your amp level might be too high.<br>
RPx400,rpx400,ProTracks playback is louder than my guitar.,You can adjust the mix of playback versus guitar by using the Playback mix knob.
RPx400,rpx400,I get audio dropout while I'm recording.,"Try increasing the latency slider in the audio settings.<br>Try reducing the number of tracks in your project (mute won't help, you either have to ""archive"" the tracks, or delete them) <br>Close any other open programs besides ProTracks check ""task manager"" to make sure there are no hidden programs running. <br>Try reducing the number of plug-ins and soft-synths. <br>Increase the amount of memory in your system. <br>Get a faster hard drive. <br>Put your audio data on a different hard drive from your OS and applications. <br>Get a faster computer.<br>"
RPx400,rpx400,Can I use the RPx 400 with other recording applications?,"Yes, as long as they support standard windows wave drivers (MME or WDM). Support for ASIO will come soon with new drivers.  ASIO based applications are Cubase, Logic, etc..."
RPx400,rpx400,"When I launch X Edit, it can't find the RPx 400.",Make sure your drivers are loaded correctly and that the USB cable is inserted securely.<br>See the section on driver installation.<br>
RPx400,rpx400,I hear doubling of the playback.,Input monitoring is probably active.  Go to Options->Audio->Input Monitoring to disable.
RPx400,rpx400,It's taking forever to install X Edit/Drivers.,"Microsoft .NET framework is required for X Edit to run on Windows PCs.  It is a very large file and if it is not already present on a system, it will take a while to load.<br>However in Windows 2000 systems, if McAfee Virus scanning software is installed, a security issue will cause .NET installation to halt.  McAfee must be un-installed - not just disabled in order for the .NET installation to proceed.<br>"
RPx400,rpx400,I can't launch X Edit.,This is usually caused by midi problems.  Make sure your drivers are loaded correctly and that the USB cable is inserted securely.<br>See the section on driver installation.<br>
RPx400,rpx400,My guitar sound is really bright.,Activate speaker compensation for the desired output jacks.
RPx400,rpx400,I don't hear guitar signal in headphones or XLR.,You are probably using one of the 'Split' modes.  Change this selection with the output mode knob on the setup level of the matrix.
RPx400,rpx400,My guitar sounds dark through my amp.,De-activate speaker compensation for the output jacks that feed the amp.
RPx400,rpx400,How can I keep the drums from playing through my amp?,You can either turn the Drums off or switch to one of the two output modes 'SPLIT1' or 'SPLIT2' and send Guitar to your amp and drums to the PA.
RPx400,rpx400,I am hearing mic/line inputs through my guitar amp.,You can either turn off the Mic and Line inputs or switch to one of the two output modes 'SPLIT1' or 'SPLIT2' and send Guitar to your amp and everything else to the PA.
RPx400,rpx400,How are signals routed through the RPx?,Refer to the routing diagrams on pages TBD.
RPx400,rpx400,I can't access Learn-a-Lick.,The USB cable must be disconnected in order to access Learn-a-Lick
RPx400,rpx400,"Bass, Mid and Treble controls are not working.","When USB is connected, the Bass, Mid and Treble controls function as USB mix and level controls.  The tone controls can still be accessed from the editing matrix or from X Edit."
RPx400,rpx400,Everything I record seems distorted.,Your levels may be too high.  Try lowering the amp level or USB level.
RPx400,rpx400,How do I get my footswitches to do recording functions?,Press the two right footswitches simultaneously to toggle from preset mode to recording footswitch mode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,"I get RECERR, ARMERR or DELERR in my RPx display.<br>",Make sure 'DigiTech RPx USB MIDI' is selected in ProTracks Options->MIDI Devices.<br>Make sure that Options->Control Surface is set to use 'DigiTech RPx USB MIDI'.<br>This sometimes also indicates an incompatibility between the drivers and the DigiTechRPx.dll file.  See the section on driver installation.<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,ProTracks won't launch.,This was probably caused by interrupting the USB connection while in a previous ProTracks session.  You must reboot your system to fix this problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,I don't hear playback from USB 3-4.,"Playback is only available on USB1-2.  USB3-4 is used for additional track recording - things like dry guitar, mic, drums, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,How do I control drum level when I'm playing back a midi drum track through the RPx?<br>,The drum level can only be adjusted after turning the Drums on.  The middle knob controls the level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,My drums didn't record.,"Drums can only be recorded on a separate track, not as part of a mix.  To record drums, go to the setup level of the matrix and select 'Drums' in USB1-2 or USB3-4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,My line inputs didn't record.,"Dry line inputs can only be recorded on a separate track, not as part of a mix.  To record line inputs, go to the setup level of the matrix and select 'DRYLIN' in USB1-2 or USB3-4.<br>Line with reverb or effects can be recorded as a mix with guitar.  The Line selector must be set to either 'LINRVB' or 'LINEFX'.<br>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,My mic didn't record.,"Dry mic can only be recorded on a separate track, not as part of a mix.  To record mic, go to the setup level of the matrix and select 'MICDRY' in USB1-2 or USB3-4.<br>Mic with reverb or effects can be recorded as a mix with guitar.  The Mic selector must be set to either 'MICRVB' or 'MIC FX'.<br>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,I get dropout when I change presets during recording/playback.,Don't change presets during recording/playback.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,My mic/line inputs had dropout while I was recording.,Changing presets while recording will cause dropout of mic and line audio to the computer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,I can't send or receive midi cc data.,"If the system crashed while X Edit was running, then the RPx wouldn't have received the signal to exit that mode.  Go into X Edit and then exit and the cc's should start working.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,What if I plug into a different USB jack on my computer?,"Windows should detect the new hardware and go through a driver installation process automatically but it will not load the DigiTech USB drivers that you'll need for ProTracks and X Edit.  For that, keep the USB cable connected to the new port and run the USB installer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,I'm adjusting amp type but tone controls keep popping up.,"This happens when midi data is echoed back to the unit by ProTracks.  In ProTracks, go to Options->Project->MIDI Input and set Echo Mode to 'None'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,Please provide the PC requirements for the software that accompanies the RPx400.,ere are the system requirements for Pro-Tracks software.<br>,<br>System Requirements,,Minimum,,,,Recommended<br>...,,,,...,,,,,...<br>Operating system,,Windows 98SE/Me/2000/XP,,Windows 2000/XP<br>Processor Speed,,500 mHz,,,,2 GHz<br>RAM,,,,64MB RAM,,,,512 MB RAM<br>Hard Disk Space,,100 MB for full installation,,20 GB hard disk space<br>Hard Disk Type,,,Any,,,,,EIDE Ultra DMA (7200) or SCSI<br>Graphics,,,"800x600, 256 color graphics",,"1024x768, 24 bit color graphics<br>MIDI Interface",,,Windows compatible,,,Windows compatible
RPx400,rpx400,I've recorded on ProTracks but can't hear playback on my computer speakers.,"In ProTracks, click on Options, then Audio, then Drivers. Make sure your Sound Card and the RPX400 are hilighted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,Can I use ProTracks recording software with Windows 98?,"In order to use ProTracks with Windows 98, power up the RPX400 while holding the Store button. Wait until the display reads NO MIDI,then release Store. The hands free recording footswitches on the RPX will not function in this mode, so all functions will need to be done manually.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPx400,rpx400,I can not hear playback from the rpx400 tutorials.,"For play back of the MIDI instruments in the tutorial, go to OPTIONS-AUDIO- ADVANCED select MME to play back the MIDI instruments.",
RPx400,rpx400,When naming files the application seems to rename the extension(type). Why is this?,"Make sure to add "".wav"" to the file name. ",
RPx400,rpx400,Hands free recording will still not work after proper midi driver installation and  foot switch set up mode.  ,"In the protracks software, select options>control surfaces and make sure the RPX400 has been selected for your input and ouput ports.<br>If not, click on the yellow tab which will allow you to add a new control surface.<br>Select the rpx400 for your input and output ports.",
RPx400,rpx400,Pro tracks won't launch after it is installed on a Windows XP system with an ATI video card. ,Go to control panel and open up system.  Click on the hardware tab and open device manager. Under sound video and game controllers you will see ATI WDM device.  Double click on the device to open the properties.  Under device usage select disable this device and click ok. Pro tracks should now launch correctly.,
RPx400,rpx400,How do I convert a song to wave format to burn it on my CD burner?,"1.  Select the tracks you want to include in you song or do a select all to export all the tracks.<br><br>2.  Go to file and Export Audio.<br><br>3.  The program should default to Riff Wave, Export to Stereo File, and 16 bit under bit depth. <br><br>4.  Select the folder where you want to save the file and click export.<br><br>5.  Open Cakewalk Pyro and go to file and new play-list.<br><br>6.  Drag the Wave file you created onto the play-list and click on burn CD.<br>",
RPx400,rpx400,"When I use Pro tracks, an error messege pops up before I start the program, and it says: ""one or more sound cards do not support stereo.  the default audio format has been set to mono.""", ,"To fix the issue, go to options, audio, and the drivers tab. Highlight just the Digitech drivers for inputs and outputs and un-highlight everything else. Click on the advanced tab and under the driver mode select WDM/KS. Click on the general tab and select 16 bit driver depth and 44100 at sampling frequency if it is not already selected. Click ok, and restart Protracks, this should fix the issue."
RPx400,rpx400,How do I relocate a preset?,Dial up the desired preset.<br>Modify if desired.<br>Press Store twice.<br>Use Up/Down footswitches to go to the new location. <br>Press and release Store. <br>The preset is now relocated.,
RPx400,rpx400, I'm having problems installing drivers and software.<br>," <br>You need to go to system properties, hardware tab, device manager, sound video and game controllers, click on the plus button. With the RPX400 connected and turned on you will see 4 USB audio devices verify these by disconnecting the USB cable and watching your computer screen you will see these 4 disappear, reconnect the USB and they will reappear. Now you need to right click on these drivers and uninstall them, one at a time, only uninstall the drivers associated with the RPX400. Now disconnect the USB cable from the RPX400. If you do not have user programs written into the RPX400 or if you have your user programs backed up in X-EDIT, I recommend you perform a factory reset on the RPX400, this procedure is in your manual.<br>At this point you will need to verify you are using the same USB port on your computer, close all windows, reconnect the USB cable to the RPX400 apply power. On the bottom right hand corner of your computer screen you will see some pop up windows the first one will say found new hardware you need to wait until all pop up messages are complete, the last one will say your new hardware is installed and ready to use. At this point you need to reinstall the USB MIDI driver's software that came with the unit. <br>",
Studio100,studio-100,Can the S100 be used as two seperate processors?,"Yes, by selecting the dual mono input configuration. The left input will feed effect engine one and the right input will feed effect engine two.",
Studio100,studio-100,Is each effect engine outputing a stereo signal?,"Yes, according to the effect configuration. The outputs are summed together (maintaining their respective stereo images) before being sent to the S100's outputs.",
Studio100,studio-100,"I was wondering, what are the advantages of the Digitech S200 compared to the <br>S100? <br>","The S200 has a few more features than the S100.  The S200 has a larger display, a De-Esser effect and slightly different presets.  The S200 also has more control available through MIDI commands beyond program changes.  The footswitch can be configured on the S200 as to what it will control whereas the S100's footswitch control is limited to program up, down and bypass.<br>",
Studio200,studio-200,Can the S200 be used as two seperate processors?,"Yes, by selecting the dual mono input configuration. The left input will feed effect engine one and the right input will feed effect engine two.",
Studio200,studio-200,Is each effect engine outputing in stereo?,"Yes, according to the effect configuration. The outputs are summed together (maintaining their respective stereo images) before being sent to the S200's outputs.",
Studio200,studio-200,"I was wondering, what are the advantages of the Digitech S200 compared to the <br>S100? <br>","The S200 has a few more features than the S100.  The S200 has a larger display, a De-Esser effect and slightly different presets.  The S200 also has more control available through MIDI commands beyond program changes.  The footswitch can be configured on the S200 as to what it will control whereas the S100's footswitch control is limited to program up, down and bypass.<br>",
TimeBender,timebender,How do I use the TimeBender Expression Pedal Input.,"Connect a mono (tip/sleeve) passive volume pedal to the TimeBender expression input to morph between two different Delay parameter settings.<br><br>DELAY TYPES cannot be assigned to the expression pedal. <br><br>You can assign and store the following parameters to a passive volume pedal heel/toe position:<br><br>DELAY TIME, REPEATS, TONE, MODULATION, PATTERN, and VOICING, <br><br>MIX KNOB: <br><br>Setting the mix knob to Dry Off will turn the dry signal off for both heel and toe pedal positions. <br>",
TimeBender,timebender,How do I FACTORY RESET the TimeBender,"Press and hold the Store button for three seconds. All the Memory Location LEDs flash and the display reads FAC.<br><br>Press and hold the Store button for three seconds again to perform the factory reset, or press the left footswitch or the Multiplier button to cancel.<br>",
VocalistVR/Access,vocalist-vr,I don't understand the different modes.  Please explain.,"There are many ways to incorporate your VR into your setup.  Scalic mode is for determining specific key signatures and choosing between 4 major or 4 different minor set scales for the harmonies to be based on.  This way it is almost automatic, yet appropriate for that key and scale.  This is most effective when singing melodic lines and desiring the harmonies to follow more directly to the melody.  Notes mode is useful for having the VR choose exactly the harmonies you tell it to in real time by sending the appropriate MIDI note information.  For example, when you play a MIDI note, the harmony will be pitched to that exact note.  Chordal mode is useful for padded background vocal harmonies, such as ones used in the chorus section of a song, or when thick backup style harmonies are needed to only be set to specific intervals, or chords, in that key signature.  These chords can be a preset or determined by MIDI note information sent to the Vocalist.",,,,,,,,,,,,
Whammy4,whammy,What is the Whammy 4?  What does it do?  What is the MIDI port used for on the Whammy 4?,"The new Whammy is a modern version of the original red WH-1 Whammy introduced by DigiTech 9 years ago.  The basic form has been maintained with only a few cosmetic changes to bring it up to date with the latest DigiTech look.  But the performance and sound is reminiscent to that of the original Whammy every guitarist covets.<br><br>All the favorite Whammy settings of old are available again at the touch of a knob. LEDs indicate the current whammy setting and a heavy-duty vacuum cleaner style momentary foot switch enables and disables the effect.<br><br>A new addition to this Whammy is the MIDI In jack, allowing remote control of the Whammy effect via any MIDI controlling device.  Both Whammy type and control are accomplished via MIDI program changes and CC messages respectively.  Also new is the Dive Bomb Whammy type, giving the effect of a Floyd Rose whammy bar pushed all the way to the body of the guitar. The Wet Added and Dry outputs are standard outputs and the unit is powered by a PS750 power supply.<br><br><br>FEATURES:<br>*; Original Whammy Performance<br>*; Original Whammy Types + new Dive Bomb<br>*; Rugged New Industrial Design<br>*; LED Indicators Display Whammy Type<br>*; MIDI In for Remote Control and Type Selection<br>*; Wet/Dry Outputs<br>*; PS750 Power Supply Included",,,,,,,,,,,,
Whammy4,whammy, What is the reset and pedal calibration for the Whammy 4?<br>, Disconnect power.<br> Press and hold the silver footswitch.<br> Connect power.<br> Wait until the light blinks several times. <br> Let go of footswitch.<br> Move the pedal all the way through it's full range of motion.<br> Press and release the silver footswitch again.,,,,,,,,,,,,
Whammy4,whammy,Whammy IV Expression pedal calibration,Start with the expression pedal in the Toe down position (pedal forward). <br><br>1.,Disconnect the power from the Whammy Pedal. <br>2.,Press and hold the Effect footswitch while reconnecting the Power.<br>3.,One of the Preset LED's will blink indicating you are in setup mode. <br>4.,"Release the Effect footswitch. <br><br>Note: Release the Effect footswitch as soon as you see one of the Preset LED's begin blinking, the LED should continue blinking after you release the Effect footswitch, if the LED is lit solid then the Effect footswitch was held to long. Repeat the procedure from step 1. <br><br>5.",Using your hands Rock the expression pedal all the way back to the Heel down position (pedal back) slowly.<br>6.,Using your hands Rock the expression pedal all the way forward to the Toe down position (pedal forward) slowly.<br>7.,"Press and release the Effect footswitch to complete the procedure. <br><br><br>Note:  Do not put any pressure on the Bump-ons located under the Whammy IV Expression pedal while rocking the pedal back and forth, if pressure is put on the Bump-ons during step 5 and 6 of this procedure the Whammy IV will not return to proper pitch. <br>",,,,,
X-Series,bass-driver,"What frequencies does the Bass Driver Overdrive / Distortion pedal control?  The tone knob in particular.  What frequency does it effect?  Also, Where is the distortion centered at frequency wise?","The tone knob effects several frequencies.  It is not a simple high shelf or parametric filter with a fixed frequency.  It is composed of three filters with individual frequency centers that change whether the tone knob it set to cut or boost.  When set to boost the tone knob effects frequencies from 1450 to 5000 and beyond, and when set to cut it effects 725 to 4000 and beyond.  This is what we call ""spectral contouring EQ.""  The filters are adjusted to give an optimal sound for boost and cut.<br><br>The distortion isn't really ""centered"" around a particular frequency.  The amount of distortion is frequency dependent, but it changes with the setting of the morph knob.  Generally the lows aren't distorted as much, but there isn't a particular frequency for how low the distortion goes.  It mainly depends on the gain setting, and the setting of the morph knob.  <br><br>Here is a very general overview of frequencies affected for min, mid and max setting of the morph knob:<br><br>Before Distortion",,,, <br>min   ~100Hz and below attenuated<br>mid,"~800Hz and below attenuated, ~1.5k and above attenuated  ",,<br>max,"~200 Hz attenuated, ~1.5k and above attenuated<br><br>After Distortion<br>min   ~1k and above attenuated<br>mid",~1.5k and above attenuated  ,,<br>max,"~40 to ~120 boosted, ~400 to ~800 Hz attenuated<br><br>These are not exact numbers, as the frequency response is fairly complicated.  However, this should give you a rough idea of frequencies effected."
X-Series,"bass-driver,bass-multi-chorus,bass-squeeze,bass-synth-wah,death-metal,digidelay,digiverb,hot-rod,hyper-phase,main-squeeze,metal-master,multi-chorus,synth-wah,tone-driver,turbo-flanger", My X-Series pedal goes through batteries quickly. Is this normal?<br>,"The X-Series pedals consume batteries at a tremendous rate. For longest battery life, we suggest fresh, high quality ALKALINE batteries, or the the PS200R power supply available from our Outlet Store at www.digitech.com.",,,,,,,,,,,,
X-Series,df-7-distortion-factory," When using stereo output mode on the DF-7, what kind of cables do I need?"," Use mono instrument cables. Do not use TRS balanced stereo cables as this causes the pedal to act as though no cable is in the jack. If the pedal is set to stereo mode and only one cable is used in the output jacks, the outputs behave as labeled, Out 1 (AMP) and Out 2 (MIXER).",,,,,,,,,,,,
